trial_num,timestamp,event_type,vehicle1_id,vehicle2_id,v1_x,v1_y,v1_velocity,v1_heading,v1_pred_x,v1_pred_y,v1_pred_velocity,v1_pred_heading,v2_x,v2_y,v2_velocity,v2_heading,v2_pred_x,v2_pred_y,v2_pred_velocity,v2_pred_heading,relative_distance,relative_velocity_magnitude,relative_velocity_x,relative_velocity_y,relative_position_x,relative_position_y,b_plane_xi,b_plane_zeta,b_plane_miss_distance,b_plane_cov_xx,b_plane_cov_xy,b_plane_cov_yy,b_plane_mahalanobis_distance,b_plane_chi2_threshold,b_plane_confidence_level,v1_ukf_uncertainty_x,v1_ukf_uncertainty_y,v1_ukf_uncertainty_v,v1_ukf_uncertainty_heading,v1_ukf_position_uncertainty,v1_ukf_velocity_uncertainty,v1_ukf_cov_trace,v1_ukf_cov_det,v1_ukf_predicted_uncertainty_x,v1_ukf_predicted_uncertainty_y,v1_ukf_predicted_position_uncertainty,v1_ukf_predicted_cov_trace,v2_ukf_uncertainty_x,v2_ukf_uncertainty_y,v2_ukf_uncertainty_v,v2_ukf_uncertainty_heading,v2_ukf_position_uncertainty,v2_ukf_velocity_uncertainty,v2_ukf_cov_trace,v2_ukf_cov_det,v2_ukf_predicted_uncertainty_x,v2_ukf_predicted_uncertainty_y,v2_ukf_predicted_position_uncertainty,v2_ukf_predicted_cov_trace,combined_position_uncertainty,combined_velocity_uncertainty,combined_cov_trace,combined_predicted_cov_trace,time_to_closest_approach,closest_approach_distance,detection_confidence,detection_result,actual_crash_distance,crash_occurred,matched_to_crash,time_to_crash,is_false_positive,is_missed_crash
1,0.227,detection,11,58,-9396791.252135288,3347354.503811844,14.335765786103181,-0.32224708316929657,-9396789.852294922,3347354.0404052734,14.448398983804509,-0.33603215326729696,-9396640.268155113,3347224.37576363,5.264230049087721,0.8980786639222443,-9396639.942382812,3347224.84576416,5.294965407578275,0.9025463593134191,199.32253059184325,13.468660104689775,10.317634266847772,-8.657437735914167,-150.98398017510772,130.1280482141301,0.0836409308895606,0.0,0.0836409308895606,0.015601406604150873,0.0,1e-09,0.4484086273484446,9.21034037197618,0.99,0.07067678616724393,0.06113382794770712,0.42880842716936296,0.012852617819102434,0.09344813011756939,0.42880842716936296,0.19277441001873694,3.8548219996101547e-10,0.0992114131234974,0.06998406725184032,0.12141117808122687,0.20888253335532175,0.0643090912996703,0.0671408822585,0.4288188196973549,0.012887772383223417,0.09297073353609238,0.4288188196973549,0.19269523209787345,3.814044411400508e-10,0.07935312546121934,0.08866125442132869,0.11898628726045532,0.20830941420249596,0.13181847486869688,0.6064340420343299,0.01737611031670927,0.028898410719098978,14.797694925875104,2.6342042615865076,0.99,True,0.0,False,False,0.0,False,False
1,0.444,detection,15,24,-9397519.931574838,3347541.948692514,7.516215815936215,1.1607043367236685,-9397519.628417969,3347542.6358032227,7.51249383634422,1.1695072513830382,-9396175.042943496,3347077.9058614336,18.79488086509022,2.9357673362881833,-9396182.430908203,3347079.1005859375,61.10372397862375,2.684829172270838,1422.6950410365907,21.61139913817146,21.394838451944747,3.0517962455813787,-1344.888631341979,464.04283108050004,-0.14540495497518344,0.0,0.14540495497518344,0.021297157137969473,0.0,1e-09,0.9927428714718547,9.21034037197618,0.99,0.052228132610821515,0.06815209109992744,0.3092410697614633,0.012709815753721307,0.08586317812255942,0.3092410697614633,0.10316406400101412,9.242400250856456e-11,0.059981143668462925,0.09034608397816715,0.10844423675773102,0.11765173402683379,0.05609567402653956,0.056104116437155106,0.34798034754149576,0.012346199560442668,0.07933723290918107,0.34798034754149576,0.12753714744437208,1.3915771598950387e-10,0.07993290346802592,0.10574404808356627,0.13255592314916873,0.14891509828079652,0.11690543992044172,0.46553234205833044,0.013666881882992008,0.029331225247895144,58.57479956707695,649.3076821120708,0.99,True,0.0,False,False,0.0,False,False
1,0.8970000000000002,detection,5,50,-9397438.192189157,3345872.489247322,11.029064726675658,1.2545972452974112,-9397436.948730469,3345872.700012207,9.44255735585466,1.2736860885925125,-9397468.811844815,3345778.3092807513,19.301737136422513,1.2605585280609788,-9397468.17211914,3345780.1776123047,19.182570841629058,1.2597449245222379,99.03246647370909,8.273129629954914,-2.4629750913756627,-7.8980014923587465,30.619655657559633,94.17996657080948,0.088199775454736,0.0,0.088199775454736,0.005443965019238659,0.0,1e-09,1.4289585555334408,9.21034037197618,0.99,0.04737285294433024,0.05821301460071424,0.22892855832298736,0.012694705894736334,0.07505292975619345,0.22892855832298736,0.058202382638583385,3.17271214182247e-11,0.05362472982613381,0.07487980394813028,0.09210101350276374,0.07115206602840797,0.04763477409725857,0.06199596336904024,0.21887044221022922,0.012613969666643347,0.07818293405438449,0.21887044221022922,0.05417595388140452,3.7812043193393463e-11,0.05987684907159645,0.07758907622086374,0.09800664162978824,0.06776868681098475,0.10837672002021626,0.31672157376652244,0.011745513442340344,0.018087898491786013,11.969506454590217,1.1931608411742438,0.99,True,0.0,False,False,0.0,False,False
1,2.0540000000000003,detection,6,51,-9397392.165869504,3346716.978373433,5.038046435350872,1.2668252334886878,-9397391.948242188,3346717.532775879,5.495551291387528,1.2719508907175623,-9396441.826063178,3346033.1778442743,16.55066318107126,-1.6104626827351005,-9396439.029296875,3346033.5513305664,20.746382197830826,-0.3689225177804474,1170.7813250837733,21.45416804979092,2.164278074701549,21.344723636628224,-950.3398063257337,683.8005291586742,0.23514239326710737,0.0,0.23514239326710737,0.009268430810307924,0.0,1e-09,5.965620960334494,9.21034037197618,0.99,0.03744718457676126,0.05974592463302535,0.2154924232125164,0.012711001493361539,0.07051146816639951,0.2154924232125164,0.05157042116394769,2.1355238361480773e-11,0.04202118656934576,0.07453338187294299,0.085562872404529,0.06401956195742582,0.06171338702277746,0.04835692820759257,0.2271699875377296,0.012585091754815227,0.078402389271612,0.2271699875377296,0.05791152241586672,3.698747833105178e-11,0.07868064592200487,0.06224768919765829,0.10032656105514715,0.07193000512711253,0.1054457291049692,0.31311848827543626,0.01111880178647855,0.017386423987265878,0.0,1170.7813250837733,0.99,True,0.0,False,False,0.0,False,False
1,3.268,detection,31,44,-9396109.107928611,3348179.6145699583,7.470356135219098,-0.10050891182228183,-9396108.408691406,3348178.1772460938,7.445444778888486,-0.0841908523143502,-9395931.618129805,3345629.735423999,17.488760689160937,1.2064159576360338,-9395931.032714844,3345631.426879883,17.643016133923084,1.2100585066946223,2556.0489603446586,17.132196037780076,1.200178077318304,-17.09010572406303,-177.48979880660772,2549.879145959392,-0.23796185144365975,0.0,0.23796185144365975,0.009326384158929725,0.0,1e-09,6.071575197583609,9.21034037197618,0.99,0.06144045912625301,0.035800137765552596,0.21549256168802738,0.012701627992012769,0.07110963283323374,0.21549256168802738,0.051654955378193076,2.2630002749337674e-11,0.07689787662438545,0.039591890788771414,0.08649162529152293,0.06417917778110124,0.046386861362344496,0.05958047833048581,0.21544048000660224,0.012626356064553104,0.07550876972338284,0.21544048000660224,0.05227559959808292,3.2518083653935756e-11,0.057810486463612955,0.07459658402681438,0.09437532883984646,0.06558072986234706,0.1037215222931874,0.3047156782450543,0.01075815418681617,0.016387503939198363,149.1956121230013,1.5753744694761806,0.99,True,0.0,False,False,0.0,False,False
1,3.4889999999999994,detection,5,50,-9397430.321932258,3345896.703324108,11.217421129881881,1.2529732893347656,-9397429.872070312,3345897.7208862305,10.263788062613457,1.2441829771269113,-9397456.143026318,3345817.2725092275,16.553146266402944,1.2579553422437844,-9397455.614990234,3345818.786254883,15.375925206812099,1.2484535840339959,83.52235180499896,5.33615700184024,-1.5890084012270282,-5.094077330500445,25.821094060316682,79.43081488041207,0.12323872508992215,0.0,0.12323872508992215,0.004664682875341957,0.0,1e-09,3.255909086997908,9.21034037197618,0.99,0.04141903189229283,0.05963598565802079,0.21541928378893271,0.012679914391356177,0.07260844984089959,0.21541928378893271,0.051838235045407285,2.6047205888007574e-11,0.04847773940112576,0.07441750075017968,0.08881472645539396,0.064554304748569,0.045137461914346616,0.05998163098619153,0.21541880424100895,0.012639601140982065,0.07506787944142783,0.21541880424100895,0.05220020726146199,3.164190162719071e-11,0.05508294556042107,0.07498645155732615,0.09304353179437856,0.06532212124932438,0.104437414330934,0.3046485336396072,0.010907173512131177,0.01654515444411799,15.651039667460282,0.996675648460331,0.99,True,0.0,False,False,0.0,False,False
1,4.474999999999999,detection,11,58,-9396749.804407142,3347340.8939906396,9.496401102890824,-0.3037958771500791,-9396748.966552734,3347340.644958496,9.172508791321889,-0.305253894017369,-9396635.619636552,3347252.6438818173,11.098016464371769,2.1495822418208776,-9396635.962890625,3347253.5430908203,9.475563754793257,2.143770935072098,144.3130054491275,19.39463874145002,15.1322442375985,-12.131248750438724,-114.18477058969438,88.25010882224888,-0.10391720805242444,0.0,0.10391720805242444,0.005111919778838144,0.0,1e-09,2.1124717516332496,9.21034037197618,0.99,0.059844442437232824,0.03969490259821984,0.21553052655468988,0.01269096404988175,0.0718125517086354,0.21553052655468988,0.05177151102836271,2.4248866263971646e-11,0.07467911539164653,0.045925025443495644,0.08767028138237369,0.06440054846935955,0.041661171662215474,0.05919552000594538,0.21517902909590372,0.012685529464834056,0.07238620595833757,0.21517902909590372,0.051702700033501824,2.5739148748663323e-11,0.05053086305365355,0.07228198564001762,0.0881932739442799,0.06434101792601346,0.10196472623387119,0.3045577489403244,0.010396805395948299,0.01546413180667538,7.439693981519621,2.5667740196703592,0.99,True,0.0,False,False,0.0,False,False
1,4.689999999999999,detection,24,27,-9396206.337186402,3347030.347125186,16.13716872130749,-1.8568949630358889,-9396207.045410156,3347028.382385254,14.058013939065859,-1.865163100825157,-9396526.318821622,3345834.298287333,4.721403092111353,-1.9128137318462557,-9396526.182373047,3345833.714416504,4.518311307183467,-1.9354386874474585,1238.1118969657432,11.426192815058034,-2.970592712515671,-11.033288774578168,319.98163522034883,1196.04883785313,-0.15006894531011136,0.0,0.15006894531011136,0.004038624464271729,0.0,1e-09,5.576326431368328,9.21034037197618,0.99,0.045190111135465366,0.059926055071207796,0.21542128592437604,0.012643377875279417,0.0750551678489439,0.21542128592437604,0.05219946365424202,3.1720360883297614e-11,0.05418077213732443,0.07495490536132676,0.09248672286940501,0.06521998700175906,0.038798389456157364,0.05906595212718375,0.21494943704786676,0.012712463206632503,0.07066895870948167,0.21494943704786676,0.05135896893305724,2.185103019514827e-11,0.043780312765274276,0.0733850004818989,0.08545217423537882,0.06376694129664606,0.10308918442744401,0.3043182395396415,0.010627379945915566,0.015855867988675665,108.35720591350412,1.971275818295392,0.99,True,0.0,False,False,0.0,False,False
1,5.392999999999999,detection,9,58,-9396632.601530554,3346943.309773272,13.899822414521632,-1.8895230125243387,-9396633.303955078,3346942.146179199,13.522265336941928,-1.8825645145843737,-9396640.496029569,3347259.0525927017,8.243492372611703,2.259174101860048,-9396640.85180664,3347259.628051758,7.208834278048016,2.261723291594535,315.841496855945,19.585865325547502,0.8813533666193223,-19.566025063707567,7.894499015063047,-315.7428194298409,-0.13668477724245873,0.0,0.13668477724245873,0.0058795005732906434,0.0,1e-09,3.1776046446346715,9.21034037197618,0.99,0.04227375169583337,0.05988380570617858,0.21542322273621936,0.012664680573834816,0.07330170713084601,0.21542322273621936,0.05194069929639236,2.749278195292444e-11,0.050846062988077284,0.0748359972123754,0.09047512696956099,0.06485330762456283,0.04786426017758535,0.053283194166090286,0.21521380787308456,0.01269971526701579,0.07162461994935024,0.21521380787308456,0.05160835204998509,2.3942073823012315e-11,0.057810826587040336,0.06503166823121884,0.08701269759990302,0.06414947834150503,0.10248524992009914,0.3045064005785293,0.01050322645118518,0.015756958143770348,0.0,315.841496855945,0.99,True,0.0,False,False,0.0,False,False
1,5.602999999999999,detection,5,41,-9397423.664718466,3345917.0915967533,11.285787500764533,1.2564339990725903,-9397423.286621094,3345918.2915649414,11.161658639088273,1.259004394785734,-9397412.598614955,3345951.151240227,9.74152254784511,1.2568665845451832,-9397412.32446289,3345952.0623779297,9.456840167054906,1.258784612902673,35.812259918171954,1.5442716140786579,0.4815101471987031,1.4672841565946886,-11.066103510558605,-34.05964347347617,0.11721658058906367,0.0,0.11721658058906367,0.0037779429658416634,0.0,1e-09,3.6368274717803932,9.21034037197618,0.99,0.041001859291679314,0.059682155237220154,0.21541614183490965,0.012679259941645541,0.07240933723722594,0.21541614183490965,0.05180798991484004,2.5489653356784855e-11,0.04845349231871783,0.07453993073600038,0.0889041179699106,0.06456882165669085,0.04047082522369639,0.05977423468203984,0.21543314503496455,0.01268740261555371,0.07218619553703155,0.21543314503496455,0.05178325699089579,2.512000699525411e-11,0.04684310622924625,0.07459611102399002,0.08808437081064889,0.06443126654135573,0.10224460350182238,0.30465645265231783,0.010453958945244868,0.015662798573115675,23.190288642607477,0.10551614410562671,0.99,True,0.0,False,False,0.0,False,False
